data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
2025-08-25,12.25,12.12,12.26,12.15,12.12,10382300,16440,ABEV3,126180671.0,1.0,12.12,1.0,12.12,12.25,12.26,12.15,12.12,299040090.0,192764844970.0,0.12882814835475873,0.1369606003752344,999.0,0.9715808785350923,374.5,152.0,66.0,80.0,11.5,65.0,68.0
2025-08-25,20.65,20.61,20.8,20.64,20.5,121200,751,AGRO3,2502581.0,1.0,20.61,1.0,20.61,20.65,20.8,20.64,20.5,2369218.0,2087554417.0,0.11933927189524257,-0.044063079777365455,0.3174145689888212,0.514563733279135,474.0,52.0,74.0,113.0,86.0,149.0,123.0
2025-08-25,7.81,8.0,8.0,7.93,7.8,112100,532,ALLD3,889396.0,1.0,8.0,1.0,8.0,7.81,8.0,7.93,7.8,991791.0,840167230.0,0.16679761721106748,0.20300751879699241,0.82357186710596,2.7947528137441937,161.0,20.0,26.0,63.0,50.0,2.0,4.0
2025-08-25,23.04,22.99,23.35,23.2,22.95,5750000,13481,ALOS3,133440532.0,1.0,22.99,1.0,22.99,23.04,23.35,23.2,22.95,94291409.0,12395249632.0,0.16098833546809932,0.23403113258185715,999.0,1.0752142914214138,246.5,113.0,31.0,52.0,11.5,39.0,19.0
2025-08-25,9.51,9.47,9.62,9.54,9.36,1472800,4557,ALPA4,14063077.0,1.0,9.47,1.0,9.47,9.51,9.62,9.54,9.36,12149216.0,6307210041.0,0.023518049475427735,0.4092261904761907,999.0,0.9563407276559936,332.5,88.0,140.0,24.0,11.5,69.0,50.0
2025-08-25,29.5,29.4,29.63,29.39,29.25,1941300,5892,ALUP11,57062367.0,1.0,29.4,1.0,29.4,29.5,29.63,29.39,29.25,23682211.0,10034724707.0,0.1587997803718517,0.09090909090909083,0.311543174622232,1.3476255668120163,329.0,107.0,32.0,90.0,87.0,13.0,49.0
2025-08-25,3.19,3.23,3.31,3.23,3.14,5570900,4486,ANIM3,18004953.0,1.0,3.23,1.0,3.23,3.19,3.31,3.23,3.14,19066011.0,1413540818.0,0.14988964835015478,0.5023255813953489,0.22600685534398898,0.9877048363618017,251.0,37.0,41.0,13.0,101.0,59.0,22.0
2025-08-25,3.96,3.92,4.07,3.94,3.86,927000,2010,ARML3,3652539.0,1.0,3.92,1.0,3.92,3.96,4.07,3.94,3.86,4108301.0,1334002273.0,0.13163301576467862,-0.09885057471264358,0.22374531501215672,0.680797696364406,449.0,34.0,60.0,121.0,103.0,131.0,105.0
2025-08-25,10.16,10.03,10.23,10.12,10.02,9018900,12505,ASAI3,91308979.0,1.0,10.03,1.0,10.03,10.16,10.23,10.12,10.02,159459972.0,14130960250.0,0.1463212598024467,0.4146685472496474,0.33665568369028004,1.1985572191784524,290.0,117.0,45.0,23.0,83.0,22.0,33.0
2025-08-25,10.54,10.72,10.85,10.74,10.46,3067100,7275,AURE3,32961669.0,1.0,10.72,1.0,10.72,10.54,10.85,10.74,10.46,38145301.0,10178162820.0,0.050705379319181225,0.24651162790697678,0.07685281663959312,0.8925403331427564,507.0,109.0,130.0,46.0,140.0,82.0,132.0
